"Marca temporal","1.- ¿De dónde eres?","2.- ¿Cuántos años tienes?","3.- ¿Estudias?","4.- ¿Trabajas?","5.- ¿Cuál es tu nivel de conocimiento en Python?","6.- ¿Qué tema relacionado con Python te gustaría aprender?","7.- ¿Has participado en algún curso anteriormente en el IA Center?","8.- ¿Cuál es tu canción favorita?"
"2023/06/27 7:42:12 p. m. GMT-6","Cd. Juárez","Entre 21 y 24","Sí","No","Básico","Manejar bases de datos","No","The Wolf"
"2023/06/27 7:42:28 p. m. GMT-6","chihuahua, chihuahua","Entre 21 y 24","Sí","Sí","Básico","machine lerning","Sí","eternity, anyma"
"2023/06/27 7:42:44 p. m. GMT-6","Chihuahua Chihuahua","Entre 18 y 20","Sí","Sí","Básico","Automatización y creación de apps/páginas web","No","Cornerstone- Arctic Monkeys :)"
"2023/06/27 7:42:52 p. m. GMT-6","Chihuahua Chihuahua","Entre 21 y 24","Sí","Sí","Básico","Análisis de datos","Sí","Sea Gets Hotter"
"2023/06/27 7:42:56 p. m. GMT-6","Chihuahua, Chih.","Más de 30","No","Sí","Básico","Conocer más librerias","Sí","Love Me More, de Sam Smith"
"2023/06/27 7:42:57 p. m. GMT-6","Puebla","Entre 21 y 24","Sí","Sí","Básico","APIS y data science","No","Fireflight - Unbreakable"
"2023/06/27 7:42:57 p. m. GMT-6","Cd. Juarez Chih","Más de 30","No","Sí","Intermedio","Analisis de Datos","Sí","Instrumental General"
"2023/06/27 7:43:04 p. m. GMT-6","Ciudad Juarez","Entre 21 y 24","Sí","Sí","Básico","Ciencia de datos","Sí","La bruja de Marco Flores "
"2023/06/27 7:43:10 p. m. GMT-6","Aguascalientes","Entre 18 y 20","Sí","No","Básico","Me gustaria aprender un poco de todo, pero mas que nada me gustaria practicar mas los conocimientos","No","Canela-Nanpa Basico"
"2023/06/27 7:43:12 p. m. GMT-6","Cd Juarez, Chih.","Entre 21 y 24","Sí","No","Básico","No tengo un tema en especifico, solo deseo repasar y aprender ","Sí","Depende del momento hy del día, ahora es Hielo - Zoé"
"2023/06/27 7:43:12 p. m. GMT-6","Juárez","Entre 21 y 24","Sí","Sí","Básico","Análisis de datos","No","No tengo:("
"2023/06/27 7:43:16 p. m. GMT-6","El Paso TX","Entre 18 y 20","Sí","No","Básico","POO","No","The Words I Never Said / Mage"
"2023/06/27 7:43:16 p. m. GMT-6","Cuauhtemoc Chihuahua","Más de 30","No","Sí","Intermedio","Web y análisis de datos","No","Dust in the wind"
"2023/06/27 7:43:29 p. m. GMT-6","Cd. Juárez ","Entre 21 y 24","Sí","Sí","Básico","Flujos de trabajo, análisis de datos, análisis estadístico y automatización ","Sí","Manto estelar - Moenia "
"2023/06/27 7:43:34 p. m. GMT-6","Hidalgo","Entre 25 y 29","Sí","Sí","Básico","Deep learning","No","Todas"
"2023/06/27 7:43:50 p. m. GMT-6","Cd. Juarez, Chih.","Entre 21 y 24","Sí","Sí","Básico","Programación orientada a objetos (POO)","Sí","Skillet-Comatose y Whisper in the Dark"
"2023/06/27 7:44:01 p. m. GMT-6","Cd. Juarez Chihuahua","Más de 30","No","Sí","Básico","un poco de todo para irme familiarizandome a la prograamacion","Sí","el hada y el mago de reta blancha"
"2023/06/27 7:44:01 p. m. GMT-6","Ciudad Juarez Chihuahua Mexico","Entre 21 y 24","No","No","Básico","API y IA ","Sí","https://youtu.be/dQw4w9WgXcQ y https://youtu.be/yJDBmP9Mexk"
"2023/06/27 7:44:12 p. m. GMT-6","Ciudad Juarez","Más de 30","Sí","No","Básico","Web Scrapping y limpieza de conjuntos de datos","Sí","Hotel California"
"2023/06/27 7:44:14 p. m. GMT-6","Chihuahua, Chih.","Más de 30","No","Sí","Básico","análisis de datos","Sí","no tengo canción favorita, prácticamente no escucho música "
"2023/06/27 7:44:17 p. m. GMT-6","Ciudad Juarez","Entre 18 y 20","Sí","No","Básico","Analisis de datos y su uso para desarrollo web","No","Burn My Dread - Persona 3"
"2023/06/27 7:44:20 p. m. GMT-6","Cd Juárez Chihuahua, México.","Más de 30","No","Sí","Básico","Ciencia de Datos, y API`s y Todo lo de Python","Sí","...."
"2023/06/27 7:44:25 p. m. GMT-6","Ciudad Juárez","Más de 30","No","Sí","Básico","recolección, limpieza y visualización de datos","Sí","Todo cuenta"
"2023/06/27 7:44:30 p. m. GMT-6","Cd. Juárez","Entre 25 y 29","Sí","No","Básico","Ciencia de datos","Sí","Chosen - Maneskin"
"2023/06/27 7:44:31 p. m. GMT-6","Juarez","Entre 25 y 29","Sí","Sí","Básico","Como hacer una interfaz para poder hacer un programa funcional para terceros. Python con SQL","Sí","God's Plan- Drake"
"2023/06/27 7:45:04 p. m. GMT-6","Cd. Juárez, Chihuahua ","Entre 18 y 20","Sí","No","Nunca he utilizado Python","Programación para uso academico","No","A man without love - Engelbert Humperdinck"
"2023/06/27 7:45:37 p. m. GMT-6","Aguascalientes ","Entre 21 y 24","Sí","No","Intermedio","un poco de inteligencia artificial ","No","Love of my life "
"2023/06/27 7:45:45 p. m. GMT-6","Cd. Juarez","Entre 15 y 17","Sí","No","Básico","Bucles","Sí","Jorge Drexler - El Plan Maestro"
